X1,lon,lat,dist.next,year_arr,year_dep,spring.med,spring.mean,spring.tot,real.arr,arr,real.dep,dep,dur,FstQu.lon,FstQu.lat,TrdQu.lon,TrdQu.lat,jul.last.wint,jul.last.stop,jul.arr.last.stop,tag,,species,deploy_loc,month,south,north,breed_label,tag_deployed,tag_length,tag_label,is.start,is.end,first.south,last.south,first.north,last.north,,,winter,winter.longstops,pop.summer,pop.winter,first.winter,last.winter,first.winter.longstops,last.winter.longstops,winter.discretion,,
11,-61.76197836,-36,1100.863483,2010,2010,,,,2010-01-24 8:42,2010-01-24 8:42,2010-03-04 23:19,2010-03-04 23:19,40,-61.76197836,-36,-61.76197836,-36,64,,,amgp_3343,,amgp,nome,1,FALSE,TRUE,NA,breed,year,NA,,,,,,,361.5124492,,T,,,,,T,,,,,
12,-61.67130919,-26.1,6033.69083,2010,2010,,,,2010-03-05 9:33,2010-03-05 9:33,2010-03-13 10:42,2010-03-13 10:42,8,-61.67130919,-26.1,-61.67130919,-26.1,,,,amgp_3343,,amgp,nome,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,1100.863483,,,,,,,,,,,,
15,-95.4499618,17.1,1511.382792,2010,2010,,,,2010-03-15 0:09,2010-03-15 0:09,2010-04-03 1:24,2010-04-03 1:24,19,-95.4499618,15.75,-96.74800671,23.85,,,,amgp_3343,,amgp,nome,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,6033.69083,,,,,,,,,,,,
16,-97.18432511,30.6,1108.058662,2010,2010,,,,2010-04-03 11:53,2010-04-03 11:53,2010-04-15 1:23,2010-04-15 1:23,12,-96.86330935,29.7,-97.18432511,30.6,,,,amgp_3343,,amgp,nome,4,FALSE,TRUE,NA,breed,year,NA,,,,,,,1511.382792,,,,,,,,,,,,
18,-98.58552632,40.5,3987.696252,2010,2010,,,,2010-04-15 11:12,2010-04-15 11:12,2010-05-10 11:15,2010-05-10 11:15,25,-98.07687213,40.5,-98.96503002,41.85,,,,amgp_3343,,amgp,nome,4,FALSE,TRUE,NA,breed,year,NA,,,,,,,1108.058662,,,,,,,,,,,,
19,-147.761194,60.3,1036.186057,2010,2010,,,,2010-05-11 7:14,2010-05-11 7:14,2010-05-16 7:14,2010-05-16 7:14,5,-143.6363636,59.85,-150.4477612,60.75,,136,,amgp_3343,,amgp,nome,5,FALSE,TRUE,NA,breed,year,NA,,,,,,,3987.696252,,,,,,,,,,,,
20,-165.719,64.631,17.56818803,2010,2010,1309.720727,2462.979679,14777.87807,2010-06-01 1:01,2010-06-01 1:01,2010-06-01 1:02,2010-06-01 1:02,0,-165.719,64.631,-165.719,64.631,,,,amgp_3343,,amgp,nome,6,FALSE,TRUE,breed,breed,year,NA,,,,,,,1036.186057,,,,,,,,,,,,
121,-165.39,64.56,9566.428509,2010,2010,,,,2010-06-01 1:01,2010-06-01 1:01,2010-06-01 1:02,2010-06-01 1:02,0,-165.39,64.56,-165.39,64.56,,,,amgp_3346,,amgp,nome,6,TRUE,FALSE,breed,breed,lessyear,NA,,,,,,,17.56818803,,,,,,,,,,,,
2,-62.66836086,10.35,1923.457899,2010,2010,,,,2010-08-27 23:18,2010-08-27 23:18,2010-09-01 9:59,2010-09-01 9:59,4,-62.66836086,10.35,-62.66836086,10.8,,,,amgp_3346,,amgp,nome,8,TRUE,FALSE,NA,breed,lessyear,NA,,,,,,,9566.428509,,,,,,,,,,,,
3,-65.28967254,-6.75,3444.936974,2010,2010,,,,2010-09-01 22:37,2010-09-01 22:37,2010-09-19 22:38,2010-09-19 22:38,18,-65.28967254,-6.75,-65.28967254,-6.75,,,,amgp_3346,,amgp,nome,9,TRUE,FALSE,NA,breed,lessyear,NA,,,,,,,1923.457899,,,,,,,,,,,,
